Record,DateTime,200,TambK,Rh,Presmb,TirK,Rain
    14,07/12/18 00:05:15,201, 302.8340,  85.9700,1015.0500, 286.8600,0
    20,07/12/18 00:05:55,201, 302.7750,  84.5300,1014.9500, 284.8000,0
    26,07/12/18 00:06:34,201, 302.8340,  84.1900,1014.8500, 270.6600,0
    32,07/12/18 00:07:13,201, 303.0840,  83.5500,1014.8500, 284.0200,0
    38,07/12/18 00:07:52,201, 303.3810,  85.2500,1014.9500, 277.3700,0
    44,07/12/18 00:10:10,201, 303.6850,  80.3700,1015.0500, 280.9200,0
    50,07/12/18 00:10:49,201, 303.7010,  77.7900,1014.9500, 274.1800,0
    56,07/12/18 00:11:28,201, 303.6150,  76.9100,1015.0500, 269.1600,0
    62,07/12/18 00:12:08,201, 303.4200,  76.3300,1014.9500, 264.9200,0
    68,07/12/18 00:12:47,201, 303.2240,  78.1300,1014.9500, 263.1100,0
    74,07/12/18 00:15:05,201, 303.5170,  77.2400,1014.9500, 274.0100,0
    80,07/12/18 00:15:44,201, 303.7010,  74.9500,1015.0500, 281.9200,0
    86,07/12/18 00:16:23,201, 303.9820,  77.0400,1015.0500, 272.0400,0
    92,07/12/18 00:17:02,201, 304.0370,  76.1200,1015.0500, 289.4700,0
    98,07/12/18 00:17:41,201, 303.9670,  74.8400,1015.0500, 293.4500,0
   104,07/12/18 00:20:00,201, 304.0250,  74.4100,1015.0500, 268.7000,0
   110,07/12/18 00:20:39,201, 304.0800,  73.7100,1015.0500, 272.2600,0
   116,07/12/18 00:21:19,201, 304.0250,  75.0900,1015.0500, 270.0700,0
   122,07/12/18 00:21:58,201, 304.2050,  76.8600,1015.0500, 268.2600,0
   128,07/12/18 00:22:37,201, 304.4590,  75.5200,1015.0500, 274.1700,0
   134,07/12/18 00:24:55,201, 304.6270,  72.0100,1015.0500, 264.6500,0
   140,07/12/18 00:25:34,201, 304.4700,  70.6100,1015.0500, 279.2700,0
   146,07/12/18 00:26:13,201, 304.4860,  72.1000,1015.0500, 285.9800,0
   152,07/12/18 00:26:52,201, 304.2750,  73.5900,1015.1500, 265.6600,0
   158,07/12/18 00:27:31,201, 303.9390,  73.9000,1015.0500, 286.5000,0
   164,07/12/18 00:29:49,201, 303.2090,  76.6500,1015.0500, 275.1700,0
   170,07/12/18 00:30:28,201, 303.0130,  78.1100,1015.0500, 288.8100,0
   176,07/12/18 00:31:07,201, 302.8020,  79.1100,1015.0500, 291.5400,0
   182,07/12/18 00:31:46,201, 302.6620,  79.5100,1015.0500, 271.5300,0
   188,07/12/18 00:32:26,201, 302.6500,  79.5500,1015.0500, 287.0000,0
   194,07/12/18 00:34:44,201, 302.7480,  81.0300,1014.9500, 289.0600,0
   200,07/12/18 00:35:23,201, 302.7050,  80.9900,1015.1500, 290.5000,0
   206,07/12/18 00:36:02,201, 302.9040,  79.9300,1015.1500, 293.2300,0
   212,07/12/18 00:36:41,201, 303.1810,  80.2500,1015.1500, 292.7400,0
   218,07/12/18 00:37:21,201, 303.3810,  81.0000,1015.1500, 293.2300,0
   224,07/12/18 00:39:40,201, 303.7440,  75.6900,1015.0500, 295.5100,0
   230,07/12/18 00:40:20,201, 303.8260,  74.4600,1015.1500, 295.8200,0
   236,07/12/18 00:41:04,201, 303.8260,  73.6600,1015.0500, 274.0100,0
   242,07/12/18 00:41:43,201, 303.6580,  73.8000,1014.9500, 275.7100,0
   248,07/12/18 00:42:23,201, 303.6150,  75.3200,1015.0500, 280.0100,0
   254,07/12/18 00:44:40,201, 303.8420,  75.4900,1015.1500, 277.7400,0
   260,07/12/18 00:45:19,201, 303.9240,  74.2400,1015.0500, 265.2100,0
   266,07/12/18 00:45:58,201, 303.7830,  75.1800,1015.0500, 276.7000,0
   272,07/12/18 00:46:38,201, 303.7170,  75.7900,1015.0500, 272.4200,0
   278,07/12/18 00:47:17,201, 303.8420,  77.6400,1015.0500, 262.9700,0
   284,07/12/18 00:49:35,201, 303.3490,  77.9200,1015.0500, 292.6300,0
   290,07/12/18 00:50:15,201, 303.5880,  77.7800,1015.0500, 270.1800,0
   296,07/12/18 00:50:54,201, 303.7170,  76.8300,1015.0500, 264.1700,0
   302,07/12/18 00:51:33,201, 303.8960,  76.5300,1014.9500, 285.2300,0
   308,07/12/18 00:52:12,201, 303.8960,  76.5800,1015.0500, 287.3200,0
   314,07/12/18 00:54:30,201, 303.3100,  79.0300,1015.0500, 289.3900,0
   320,07/12/18 00:55:09,201, 303.1270,  78.2200,1015.0500, 287.5500,0
   326,07/12/18 00:55:48,201, 303.1270,  78.8600,1015.0500, 292.1100,0
   332,07/12/18 00:56:27,201, 303.1270,  79.0400,1015.0500, 289.4800,0
   338,07/12/18 00:57:06,201, 303.0410,  79.4600,1015.0500, 285.9400,0
   344,07/12/18 00:59:24,201, 302.8180,  79.0200,1015.0500, 274.8800,0
   350,07/12/18 01:00:03,201, 302.7200,  79.2400,1015.0500, 266.1500,0
   356,07/12/18 01:00:42,201, 302.6620,  79.9300,1015.0500, 262.2000,0
   362,07/12/18 01:01:22,201, 302.6930,  80.6900,1015.0500, 261.9800,0
   368,07/12/18 01:02:01,201, 302.7910,  80.8500,1015.0500, 263.1400,0
   374,07/12/18 01:04:19,201, 303.7280,  77.4000,1015.0500, 262.8300,0
   380,07/12/18 01:04:58,201, 303.7990,  76.2700,1014.9500, 262.8600,0
   386,07/12/18 01:05:38,201, 303.8960,  76.6600,1014.9500, 262.3700,0
   392,07/12/18 01:06:17,201, 303.9550,  75.4800,1015.0500, 262.3700,0
   398,07/12/18 01:06:57,201, 303.8960,  73.9500,1014.9500, 262.6600,0
   404,07/12/18 01:09:15,201, 304.3450,  74.4200,1015.0500, 262.7300,0
   410,07/12/18 01:09:54,201, 304.4310,  74.9000,1014.9500, 263.3100,0
   416,07/12/18 01:10:34,201, 304.3300,  73.3400,1015.0500, 263.1100,0
   422,07/12/18 01:11:19,201, 304.2600,  73.9600,1014.9500, 262.6800,0
   428,07/12/18 01:11:59,201, 304.3730,  72.9100,1015.0500, 263.1300,0
   434,07/12/18 01:14:16,201, 304.2910,  74.2600,1014.9500, 263.3700,0
   440,07/12/18 01:14:55,201, 304.4430,  73.3000,1015.0500, 263.3000,0
   446,07/12/18 01:15:35,201, 304.5840,  72.4500,1015.0500, 263.7200,0
