Record,DateTime,200,TambK,Rh,Presmb,TirK,Rain
    14,07/15/18 00:05:14,201, 304.9200,  75.3600,1012.8500, 252.9500,0
    20,07/15/18 00:05:53,201, 304.5130,  75.2500,1013.0500, 252.6100,0
    26,07/15/18 00:06:33,201, 304.3880,  77.2400,1012.9500, 252.2300,0
    32,07/15/18 00:07:12,201, 304.3450,  77.9700,1012.9500, 252.3700,0
    38,07/15/18 00:07:51,201, 304.1350,  79.4700,1012.9500, 251.8100,0
    44,07/15/18 00:10:08,201, 304.0100,  81.1800,1012.9500, 252.0500,0
    50,07/15/18 00:10:47,201, 303.7990,  79.8700,1012.9500, 252.1300,0
    56,07/15/18 00:11:26,201, 303.7830,  80.2800,1012.9500, 252.4500,0
    62,07/15/18 00:12:06,201, 303.7560,  80.8300,1012.9500, 251.8400,0
    68,07/15/18 00:12:45,201, 303.7560,  81.2100,1013.0500, 251.5400,0
    74,07/15/18 00:15:03,201, 303.4780,  80.2700,1012.9500, 252.4000,0
    80,07/15/18 00:15:42,201, 303.4080,  81.4500,1012.9500, 251.4100,0
    86,07/15/18 00:16:21,201, 303.3490,  80.9000,1012.9500, 251.5000,0
    92,07/15/18 00:17:00,201, 303.3220,  80.9900,1012.9500, 251.1000,0
    98,07/15/18 00:17:40,201, 303.3810,  82.2500,1012.9500, 251.9700,0
   104,07/15/18 00:19:57,201, 303.4900,  79.7400,1012.9500, 252.2000,0
   110,07/15/18 00:20:37,201, 303.4350,  80.5000,1012.9500, 252.3700,0
   116,07/15/18 00:21:17,201, 303.4780,  81.1300,1012.9500, 251.9000,0
   122,07/15/18 00:21:56,201, 303.5760,  80.9200,1012.9500, 252.1600,0
   128,07/15/18 00:22:36,201, 303.6150,  79.7900,1012.9500, 252.2600,0
   134,07/15/18 00:24:54,201, 303.6310,  80.1500,1012.9500, 252.0000,0
   140,07/15/18 00:25:33,201, 303.6580,  80.8300,1012.8500, 251.4300,0
   146,07/15/18 00:26:12,201, 303.6030,  80.8800,1012.8500, 251.7000,0
   152,07/15/18 00:26:51,201, 303.6850,  80.8600,1012.9500, 252.8300,0
   158,07/15/18 00:27:31,201, 303.8140,  81.4500,1012.7500, 252.4300,0
   164,07/15/18 00:29:49,201, 303.8140,  80.9500,1012.8500, 251.9300,0
   170,07/15/18 00:30:28,201, 303.7170,  79.7900,1012.7500, 252.1400,0
   176,07/15/18 00:31:07,201, 303.8140,  82.1200,1012.9500, 252.2400,0
   182,07/15/18 00:31:47,201, 303.7710,  79.8600,1012.8500, 251.6700,0
   188,07/15/18 00:32:26,201, 303.8140,  80.7000,1012.8500, 251.9500,0
